latitude,longitude
40.76312607,-73.98935258
40.72180184,-73.99119881
40.77038983,-73.98213047
40.76996828,-73.98212294
40.71975914,-73.98660086
40.76814466,-73.99240025
40.80690345,-73.95739877
40.74797175,-74.00705779
40.76996863,-73.98208864
40.77774504,-73.96095697
40.73689499,-74.00358611
40.75376323,-73.96638946
40.72058608,-73.98520399
40.79637945,-73.96197027
40.76808416,-73.99225614
40.72999096,-73.98829794
40.77043849,-73.98209704
40.74021106,-73.97738586
40.83746668,-73.93929338
40.728764,-73.97874426
40.78187241,-73.98516023
40.78144695,-73.98529868
40.77160406,-73.94732748
40.77976285,-73.9816732
40.78002006,-73.98163588
40.72345123,-73.98530834
40.77720259,-73.98055895
40.76305362,-73.98940403
40.82921393,-73.95022862
40.79191865,-73.97311462
40.79187516,-73.97301173
40.76338201,-73.95613854
40.82110009,-73.95525228
40.77273814,-73.95856756
40.78294816,-73.95183455
40.80177203,-73.9510733
40.7761426,-73.96424371
40.76412612,-73.95898881
40.80900142,-73.95427116
40.73475714,-73.99665054
40.78152923,-73.98526496
40.80209064,-73.95248005
40.74013566,-73.97744075
40.78258338,-73.95567768
40.73042497,-73.98339589
40.86504717,-73.92541528
40.75687382,-73.99853915
40.72824277,-73.99403662
40.77934394,-73.98363144
40.78663785,-73.9466522
40.80256195,-73.96312927
40.81155406,-73.95225014
40.77731053,-73.98881716
40.79536511,-73.9456159
40.79970886,-73.96203248
40.76197391,-73.97046174
40.83247699,-73.94599454
40.76295556,-73.96009347
40.72879706,-73.97882248
40.7798515,-73.98168332
40.82817432,-73.95095359
40.76773347,-73.98968926
40.72134835,-73.98342667
40.74605142,-74.00179339
40.77707643,-73.98893478
40.77205002,-73.9601678
40.72658437,-73.99887375
40.77984077,-73.98168634
40.77982252,-73.98169148
40.7799824,-73.9816114
40.72074327,-73.98632621
40.86353912,-73.926352
40.78003876,-73.98159554
40.76769755,-73.99133521
40.76595876,-73.95179856
40.73658413,-73.98003215
40.78168043,-73.98520298
40.76483867,-73.99036063
40.76333404,-73.95617362
40.77993363,-73.9816602
40.8717917,-73.9153445
40.87236105,-73.91669236
40.77474717,-73.96433611
40.82861373,-73.94569182
40.72921156,-73.9853541
40.82581028,-73.94483814
40.79259442,-73.96913088
40.86324531,-73.92660909
40.73817279,-74.0066445
40.7131261,-73.98846856
40.71064673,-73.98593279
40.85673559,-73.92878081
40.78503266,-73.97910872
40.80441608,-73.96750159
40.78171656,-73.95306211
40.7829708,-73.95188822
40.8159328,-73.94962487
40.76168409,-73.96123418
40.72343984,-73.994671
40.83252108,-73.94600159
40.77267606,-73.95861238
40.74025236,-73.9773558
40.84723813,-73.94022289
40.78256022,-73.97328746
40.78272342,-73.9454505
40.73484681,-73.995151
40.84820268,-73.94169644
40.71381573,-73.9773638
40.8037621,-73.93211237
40.82061805,-73.94908056
40.87123835,-73.91234127
40.72833655,-73.98168446
40.76822825,-73.99259935
40.77973556,-73.98171596
40.74820468,-73.98622761
40.78463674,-73.979434
40.77900626,-73.98726958
40.72888877,-73.97697363
40.77185573,-73.98222017
40.76344853,-73.96941187
40.78408095,-73.97981265
