PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER_q1,RAPE_q1,ROBBERY_q1,FELONY ASSAULT_q1,BURGLARY_q1,GRAND LARCENY_q1,GRAND LARCENY OF MOTOR VEHICLE_q1,TOTAL_q1,MURDER_q2,RAPE_q2,ROBBERY_q2,FELONY ASSAULT_q2,BURGLARY_q2,GRAND LARCENY_q2,GRAND LARCENY OF MOTOR VEHICLE_q2,TOTAL_q2,MURDER_q3,RAPE_q3,ROBBERY_q3,FELONY ASSAULT_q3,BURGLARY_q3,GRAND LARCENY_q3,GRAND LARCENY OF MOTOR VEHICLE_q3,TOTAL_q3,TOTAL,CRIME OR NOT,CRIME OR NOT_q1,CRIME OR NOT_q2,CRIME OR NOT_q3
BROOKLYN BOTANIC GARDEN,BROOKLYN     ,47.57 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MEREDITH WOODS,STATEN ISLAND,47.52 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
QUEENS FARM PARK,QUEENS       ,47.08 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
EAST RIVER PARK,MANHATTAN    ,45.88 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,2 ,0,2 ,0 ,0,1 ,0,0,1 ,0,2 ,5 ,1 ,1,1,1
CROCHERON PARK,QUEENS       ,45.79 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MACOMBS DAM PARK,BRONX        ,44.17 ,ONE ACRE OR LARGER,0 ,0 ,2 ,0 ,0 ,1 ,0 ,3 ,0,0,0,0,0,0,0,0 ,0 ,0,2 ,0,0,3 ,0,5 ,8 ,1 ,1,0,1
MANHATTAN BEACH PARK,BROOKLYN     ,42.94 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
UDALL'S PARK PRESERVE,QUEENS       ,42.77 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FAIRVIEW PARK,STATEN ISLAND,42.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BAYSWATER PARK,QUEENS       ,40.07 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0,0,1 ,0,0,0,2 ,0 ,0,1 ,1 ,0,0,0,2 ,4 ,1 ,0,1,1
DEERE PARK,STATEN ISLAND,39.78 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PARADE GROUND,BROOKLYN     ,39.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
CLAREMONT PARK,BRONX        ,38.54 ,ONE ACRE OR LARGER,0 ,0 ,4 ,0 ,0 ,0 ,0 ,4 ,0,0,2 ,0,0,0,0,2 ,0 ,0,1 ,1 ,0,1 ,0,3 ,9 ,1 ,1,1,1
BROAD CHANNEL WETLANDS,QUEENS       ,37.95 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CONEY ISLAND BOAT BASIN,BROOKLYN     ,36.81 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BUNKER PONDS PARK,STATEN ISLAND,36.69 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SETON FALLS PARK,BRONX        ,35.77 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,0,0,1 ,0 ,0,1 ,0,0,0,0,1 ,2 ,1 ,0,1,1
MCCARREN PARK,BROOKLYN     ,35.71 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,3 ,0,4 ,0 ,0,0,0,0,6 ,0,6 ,10 ,1 ,0,1,1
ST. MARY'S PARK BRONX,BRONX        ,35.31 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,2 ,1 ,0,1 ,0,4 ,0 ,1 ,3 ,2 ,0,0,0,6 ,11 ,1 ,1,1,1
SHOOTERS ISLAND,STATEN ISLAND,34.69 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
NORTH BROTHER ISLAND,BRONX        ,30.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FORT GREENE PARK,BROOKLYN     ,30.17 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0,0,0,0,0,1 ,0,1 ,0 ,0,2 ,0,0,0,0,2 ,5 ,1 ,1,1,1
BATTERY PARK CITY,MANHATTAN    ,29.99 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MORNINGSIDE PARK,MANHATTAN    ,29.89 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,1 ,0,0,1 ,0,2 ,0 ,0,1 ,0,0,0,0,1 ,4 ,1 ,1,1,1
MACNEIL PARK,QUEENS       ,28.87 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
ALLEY ATHLETIC PLAYGROUND,QUEENS       ,27.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
VERNAM BARBADOES PENINSULA,QUEENS       ,27.48 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
COLLEGE POINT FIELDS,QUEENS       ,26.83 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
KAISER PARK,BROOKLYN     ,26.26 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,1 ,0,1 ,0,1 ,0,3 ,3 ,1 ,0,0,1
SUNSET PARK,BROOKLYN     ,24.50 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0,0,3 ,1 ,0,1 ,0,5 ,0 ,0,1 ,3 ,0,3 ,0,7 ,14 ,1 ,1,1,1
OWL'S HEAD PARK,BROOKLYN     ,24.22 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
SPRINGFIELD PARK,QUEENS       ,23.54 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
RECREATIONAL AREA,MANHATTAN    ,23.09 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
KING FISHER PARK,STATEN ISLAND,23.01 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SIEDENBURG PARK,STATEN ISLAND,22.88 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ST. NICHOLAS PARK,MANHATTAN    ,22.74 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,2 ,0,1 ,0,4 ,0 ,1 ,0,0,0,2 ,0,3 ,7 ,1 ,0,1,1
SOUTH BROTHER ISLAND,BRONX        ,22.16 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LOCUST POINT MARINA,BRONX        ,22.07 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BATTERY PARK,MANHATTAN    ,21.88 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BROOKLYN BRIDGE PARK,BROOKLYN     ,21.19 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,1 ,1 ,0 ,2 ,0,0,1 ,0,0,6 ,0,7 ,0 ,0,0,0,1 ,4 ,0,5 ,14 ,1 ,1,1,1
ASSER LEVY PARK,BROOKLYN     ,21.04 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.91 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
WAVE HILL,BRONX        ,20.87 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
QUEENSBRIDGE PARK,QUEENS       ,20.34 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MARCUS GARVEY PARK,MANHATTAN    ,20.17 ,ONE ACRE OR LARGER,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0,0,3 ,2 ,0,0,0,5 ,0 ,0,3 ,6 ,0,1 ,0,10 ,16 ,1 ,1,1,1
ISHAM PARK,MANHATTAN    ,20.13 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,2 ,0,0,0,0,2 ,2 ,1 ,0,0,1
WILLIAMSBRIDGE OVAL,BRONX        ,19.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,3 ,1 ,0,2 ,0,6 ,6 ,1 ,0,0,1
BRANT POINT WILDLIFE SANCTUARY,QUEENS       ,19.56 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BROAD CHANNEL AMERICAN PARK,QUEENS       ,18.77 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
THEODORE ROOSEVELT PARK,MANHATTAN    ,17.57 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BENSONHURST PARK,BROOKLYN     ,17.50 ,ONE ACRE OR LARGER,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0,0,0,0,0,1 ,0,1 ,0 ,0,1 ,0,0,0,0,1 ,4 ,1 ,1,1,1
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN     ,17.14 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,2 ,0,0,0,3 ,0 ,0,3 ,0,0,0,0,3 ,6 ,1 ,0,1,1
JOHN GOLDEN PARK,QUEENS       ,17.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BAYVIEW TERRACE PARK,STATEN ISLAND,16.94 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JONES WOODS PARK,STATEN ISLAND,16.93 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FRANCIS LEWIS PARK,QUEENS       ,16.83 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LEIF ERICSON PARK,BROOKLYN     ,16.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
EIBS POND PARK,STATEN ISLAND,16.51 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RAILROAD PARK QUEENS,QUEENS       ,16.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BREUKELEN BALLFIELDS,BROOKLYN     ,16.16 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FRANZ SIGEL PARK,BRONX        ,15.99 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,3 ,0,0,0,0,3 ,0 ,0,0,1 ,0,0,0,1 ,4 ,1 ,0,1,1
THOMAS JEFFERSON PARK,MANHATTAN    ,15.52 ,ONE ACRE OR LARGER,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0,0,0,1 ,0,2 ,0,3 ,0 ,0,0,1 ,0,1 ,0,2 ,6 ,1 ,1,1,1
ALICE AUSTEN PARK,STATEN ISLAND,15.52 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MILL POND PARK,BRONX        ,15.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SHERMAN CREEK,MANHATTAN    ,15.38 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HARRIS PARK,BRONX        ,15.32 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,1 ,1 ,0,0,1
GOODHUE,STATEN ISLAND,15.06 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MULLALY PARK,BRONX        ,15.05 ,ONE ACRE OR LARGER,0 ,0 ,2 ,1 ,0 ,1 ,0 ,4 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,1 ,0,1 ,0,2 ,7 ,1 ,1,1,1
TREMONT PARK,BRONX        ,15.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
CARL SCHURZ PARK,MANHATTAN    ,14.94 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
GRAND ARMY PLAZA BROOKLYN,BROOKLYN     ,14.26 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,2 ,0,2 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,0,1,0
VON BRIESEN PARK,STATEN ISLAND,13.94 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MOTOR PARKWAY,QUEENS       ,13.89 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS       ,13.83 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BEACH 17 PLAYGROUND,QUEENS       ,13.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
TUDOR PARK,QUEENS       ,13.54 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
AQUEDUCT WALK,BRONX        ,13.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,2 ,0,0,0,3 ,0 ,0,2 ,0,0,0,0,2 ,5 ,1 ,0,1,1
FATHER MACRIS PARK,STATEN ISLAND,13.47 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
STARLIGHT PARK,BRONX        ,12.93 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
JACKIE ROBINSON PARK MANHATTAN,MANHATTAN    ,12.77 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,2 ,1 ,0,1 ,0,4 ,0 ,0,0,1 ,0,0,0,1 ,6 ,1 ,1,1,1
BROOKLYN MUSEUM,BROOKLYN     ,12.66 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BEACH CHANNEL PARK,QUEENS       ,12.62 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,12.25 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BOWNE PARK,QUEENS       ,11.79 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SETON PARK,BRONX        ,11.69 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
RUFUS KING PARK,QUEENS       ,11.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,2 ,0,0,2 ,0,4 ,5 ,1 ,0,1,1
FRANK GOLDEN PARK,QUEENS       ,11.42 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ST. JAMES PARK,BRONX        ,11.39 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,1 ,0,0,0,1 ,0 ,0,0,1 ,0,1 ,0,2 ,4 ,1 ,1,1,1
RICHMOND TERRACE WETLANDS,STATEN ISLAND,11.19 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BARRETTO POINT PARK,BRONX        ,11.16 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ST. ALBANS PARK,QUEENS       ,10.79 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
GEMINI FIELDS,QUEENS       ,10.76 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GIVANS CREEK WOODS,BRONX        ,10.74 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BETSY HEAD PARK,BROOKLYN     ,10.56 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,3 ,0,0,1 ,0,4 ,4 ,1 ,0,0,1
TOMPKINS SQUARE PARK,MANHATTAN    ,10.50 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,3 ,0,3 ,0 ,0,0,0,0,6 ,0,6 ,10 ,1 ,1,1,1
CPL. THOMPSON PARK,STATEN ISLAND,10.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,2 ,0,0,0,2 ,0 ,0,2 ,0,0,1 ,0,3 ,5 ,1 ,0,1,1
COMMODORE BARRY PARK,BROOKLYN     ,10.39 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CADMAN PLAZA PARK,BROOKLYN     ,10.38 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BROADWAY MALLS,MANHATTAN    ,10.24 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
STEEPLECHASE PARK,BROOKLYN     ,10.01 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HUNTER'S POINT SOUTH PARK,QUEENS       ,10.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,9.93 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HYBRID OAK WOODS PARK,STATEN ISLAND,9.76 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WASHINGTON SQUARE PARK,MANHATTAN    ,9.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,0,0,0,5 ,0,5 ,0 ,0,0,2 ,0,11 ,0,13 ,19 ,1 ,1,1,1
BRYANT PARK,MANHATTAN    ,9.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0,0,0,0,0,5 ,0,5 ,0 ,0,0,0,0,6 ,0,6 ,15 ,1 ,1,1,1
